name,service_type,phone,email,location,url
"message","cleaning","4074854081","","Orlando, Winter Garden, Winter Park, Windermere, Dr. Phillips, Maitland","https://orlando.craigslist.org/hss/d/windermere-need-house-cleaning-this/7915839378.html"
"","cleaning","8185107488","","Orlando","https://orlando.craigslist.org/hss/d/kissimmee/7915789174.html"
"","plumbing","4079781261","oarservices@gmail.com","Central Florida","https://orlando.craigslist.org/hss/d/eustis-plumbing-at-reasonable-rate/7915740106.html"
"ALEX","cleaning","4077094565","","Orlando, Kissimmee, St. Cloud, Poinciana","https://orlando.craigslist.org/hss/d/orlando-plumber-drain-cleaning-call/7915737549.html"
"for","cleaning","8889808808","","Orlando, Kissimmee, Winter Garden, Winter Park, Altamonte Springs, Sanford, Apopka, Clermont, Ocoee, St. Cloud, Daytona, Deltona, Poinciana, Windermere, Celebration, Maitland, Casselberry, Orange County, Osceola, Seminole","https://orlando.craigslist.org/hss/d/orlando-duct-dryer-chimney-carpet/7915734816.html"
"now","cleaning","4077328984","","Central Florida","https://orlando.craigslist.org/hss/d/orlando-house-cleaning-apt-office-new/7915726825.html"
"","handyman","7543297203","","Orlando","https://orlando.craigslist.org/hss/d/orlando-handyman-plumber-painting/7915715433.html"
"","cleaning","4073604428","","Orlando","https://orlando.craigslist.org/hss/d/orlando-licensed-plumbing-and-drain/7915694306.html"
"AND","handyman","4073580050; 4073580347","","","https://orlando.craigslist.org/hss/d/kissimmee-acair-conditioning-install/7915688996.html"
"now","handyman","3212392273","","Central Florida, Seminole","https://orlando.craigslist.org/hss/d/orlando-handyman-available-now/7915681178.html"
"Now","landscaping","4073199973","","Orlando, Lake Nona, Kissimmee, Winter Park, Sanford, Apopka, Windermere, Celebration, Dr. Phillips, Maitland, Casselberry","https://orlando.craigslist.org/hss/d/kissimmee-panda-lawn-mowing-same-day/7915664360.html"
"","handyman","3219485155; 4077245615","","Orlando, Kissimmee, Winter Garden, Central Florida","https://orlando.craigslist.org/hss/d/orlando-air-condition-repairs-and/7915648823.html"
"and","handyman","4076037555","","Orlando, Kissimmee, Winter Park, Altamonte Springs, Apopka","https://orlando.craigslist.org/hss/d/orlando-sliding-glass-door-repair-same/7915645781.html"
"now","handyman","4073570888","","Orlando, Kissimmee, Winter Park, Apopka, Clermont, Ocoee, Windermere, Central Florida","https://orlando.craigslist.org/hss/d/orlando-broken-garage-door-spring/7915645241.html"
"FOR","cleaning","3863876116","","Orlando, Kissimmee, Apopka, Clermont, Central Florida","https://orlando.craigslist.org/hss/d/orlando-simply-clean-home-care/7915628107.html"
"Anthony","pressure_washing","3219472942","","Orlando","https://orlando.craigslist.org/hss/d/orlando-pressure-washing-clean-fresh/7915611360.html"
"","handyman","4077331199","","Orlando, Kissimmee, Clermont, Poinciana","https://orlando.craigslist.org/hss/d/winter-garden-garage-door-repair/7915595288.html"
"any","handyman","4072849311; 4072462347; 4072463785; 4076209200; 4076295300; 3213036626; 4072535701; 8139713742; 4074354893; 4072308465; 4072474736; 7328951227","","Orlando, Winter Garden, Sanford, Apopka, Clermont, Windermere, Orange County","https://orlando.craigslist.org/hss/d/mascotte-masterhandyman-fix-repair/7915588610.html"
"","handyman","4075844042","","","https://orlando.craigslist.org/sks/d/orlando-handyman-carpentry/7915820151.html"
"","handyman","4078605553","","Orlando","https://orlando.craigslist.org/sks/d/lake-mary-licensed-electrician-handyman/7915799057.html"
"NOW","junk_removal","8882708355","","Orlando","https://orlando.craigslist.org/lbs/d/orlando-need-workers-now-turns-junk/7915783094.html"
"for","handyman","4075910857","","Central Florida","https://orlando.craigslist.org/sks/d/sanford-24-hour-handyman-service/7915730006.html"
"For","handyman","3216625630","","Orlando","https://orlando.craigslist.org/sks/d/orlando-acair/7915698910.html"
"Window Installation","handyman","3214308844","","","https://orlando.craigslist.org/sks/d/orlando-roofing-painting-handyman-the/7915556466.html"
"Kitchen Remodels","handyman","3212780272","","Orlando","https://orlando.craigslist.org/sks/d/orlando-the-renovation-booth-your-one/7915479357.html"
"","handyman","8632369166","","Poinciana","https://orlando.craigslist.org/hss/d/haines-city-affordable-local-handyman/7915478408.html"
"first","handyman","6892243500","","Orlando, Kissimmee, Winter Garden, Winter Park, Sanford, Apopka, Clermont, Windermere, Central Florida","https://orlando.craigslist.org/hss/d/orlando-tv-mounting-tech-support/7915435583.html"
"Now","handyman","3213806587","","Orlando, Winter Park, Apopka, Ocoee","https://orlando.craigslist.org/hss/d/orlando-a1-handyman-solutions-property/7915279446.html"
"Rob","handyman","3214017681","","Sanford","https://orlando.craigslist.org/hss/d/sanford-handyman-tv-mounting-painting/7915239541.html"
"","handyman","4075356587","","Orlando, Kissimmee","https://orlando.craigslist.org/lbs/d/orlando-handyman-services-servicios-de/7915015717.html"
"","handyman","3219261267","","Deltona","https://orlando.craigslist.org/hss/d/deltona-handyman-services/7914877720.html"
"for","gutter_cleaning","3863201893","","Orlando, Sanford","https://orlando.craigslist.org/hss/d/deltona-ml-framing-remodeling-llc/7913926185.html"
"now","gutter_cleaning","7723343139","","Orlando","https://orlando.craigslist.org/sks/d/orlando-chop-drop-gutters-diy/7912040687.html"
"TODAY","gutter_cleaning","3213585416","","Orlando","https://orlando.craigslist.org/sks/d/orlando-seamless-gutters-and-soffit-and/7910426904.html"
"Carpet Cleaning","cleaning","4075016089","","Orlando, Poinciana","https://orlando.craigslist.org/hss/d/orlando-carpet-cleaning/7915130950.html"
"anytime","cleaning","4073570324; 4078137158","","Orlando, Kissimmee, Winter Garden, Winter Park, Clermont, Windermere, Maitland","https://orlando.craigslist.org/hss/d/davenport-house-cleaning-services-67/7914868898.html"
"msg","cleaning","9802131748","","Orlando, Lake Nona, Kissimmee, Winter Garden, Winter Park, Altamonte Springs, Sanford, Apopka, Clermont, Ocoee, Windermere, Maitland, Central Florida","https://orlando.craigslist.org/hss/d/orlando-house-cleaning-house/7913225525.html"
"","pressure_washing","4079008201","","Orlando","https://orlando.craigslist.org/hss/d/orlando-99-pressure-wash/7913081471.html"
"for","cleaning","3213167760","","Orlando","https://orlando.craigslist.org/hss/d/orlando-last-minute24/7912822102.html"
"","pressure_washing","3523289925","","Orlando","https://orlando.craigslist.org/hss/d/orlando-carpet-cleaning-pressure-washing/7911454842.html"
"John","cleaning","4077502434","","Orlando, Kissimmee","https://orlando.craigslist.org/hss/d/orlando-airbnb-cleaners-orlando-fl-we/7911197895.html"
"and","cleaning","3214170369","","Orlando, Kissimmee, Winter Garden, Winter Park, Poinciana, Celebration, Orange County, Osceola","https://orlando.craigslist.org/hss/d/kissimmee-family-owned-house-cleaning/7910534765.html"
"for","cleaning","7724976113","","Kissimmee","https://orlando.craigslist.org/hss/d/kissimmee-scrubbing-floors-frm-250-hme/7909834915.html"
"","handyman","3213207480","","Orlando, Central Florida","https://orlando.craigslist.org/hss/d/orlando-brick-pavers-installation/7915521264.html"
"now","painting","3215292113","","Orlando, Kissimmee, Sanford, Apopka, Clermont, Ocoee, Windermere, Celebration, Maitland, Casselberry","https://orlando.craigslist.org/hss/d/orlando-transform-your-home-with/7915485162.html"
